Scenario,A*_Cost,A*_Time,A*_Nodes,ACO_Cost,ACO_Time,ACO_Nodes,QL_Cost,QL_Time,QL_Nodes
1,2258.937300152285,0.002000093460083008,308,inf,0.004999876022338867,425,inf,0.17027616500854492,24118
2,2289.3661795521066,0.002000093460083008,479,inf,0.007132530212402344,812,inf,0.1735851764678955,24452
3,1927.7925453517087,0.002008676528930664,245,inf,0.00807499885559082,754,2580.794576020559,0.15189671516418457,21682
4,729.2258808623968,0.001008749008178711,33,818.2129356739985,0.006998300552368164,768,833.0616507706906,0.11402201652526855,15536
5,1441.3013303996127,0.0009999275207519531,204,inf,0.005999088287353516,687,inf,0.1365954875946045,20005
6,1851.8410361232432,0.0019998550415039062,361,inf,0.008081912994384766,881,inf,0.16688036918640137,23314
7,1443.9144678156977,0.0009996891021728516,175,inf,0.007637739181518555,798,inf,0.14353442192077637,20637
8,2340.258686888861,0.0009999275207519531,194,3033.713966923815,0.008216381072998047,1029,2812.968014283481,0.1357719898223877,19485
9,1278.6680452976054,0.0009975433349609375,141,1465.2797298322698,0.008049726486206055,921,inf,0.14172720909118652,20355
10,1600.9553631203974,0.002000093460083008,227,inf,0.006999969482421875,680,inf,0.16784429550170898,24099
11,1093.2515787988327,0.0010085105895996094,44,1122.7437582034727,0.007029294967651367,783,inf,0.1231539249420166,18159
12,909.1920314724499,0.0010001659393310547,40,1080.3337248407745,0.006999969482421875,803,inf,0.1412954330444336,19084
13,1037.876235981256,0.0010793209075927734,101,1843.6827190889194,0.010960102081298828,1123,inf,0.15133309364318848,21203
14,1488.4731911829717,0.000993490219116211,158,inf,0.0050776004791259766,633,inf,0.16251063346862793,23392
15,1401.8786497566393,0.0010023117065429688,225,inf,0.006998300552368164,649,inf,0.16920185089111328,24260
16,1188.6633926581817,0.0009999275207519531,111,2666.413986306399,0.007044076919555664,698,inf,0.13893389701843262,20167
17,2044.268873183461,0.0019991397857666016,293,inf,0.0061817169189453125,723,2216.900561329456,0.12231230735778809,17488
18,1171.9835131466207,0.0,95,1297.2841601472762,0.011394977569580078,1318,inf,0.13576364517211914,19228
19,1576.4428927378376,0.0009198188781738281,175,inf,0.0030007362365722656,292,inf,0.1681525707244873,23987
20,1276.0484556753554,0.001001596450805664,188,2868.8251819441275,0.007082939147949219,752,inf,0.1604301929473877,23306
21,1217.033735970035,0.0010001659393310547,77,1255.7087852764496,0.008103609085083008,806,1481.1453206172316,0.11748886108398438,17017
22,1623.4610925244006,0.0009622573852539062,164,inf,0.003955841064453125,408,1820.307463149251,0.10299801826477051,14599
23,1864.2191150878796,0.0009999275207519531,193,inf,0.0049970149993896484,469,inf,0.1512296199798584,21579
24,1641.2658835708912,0.0009982585906982422,272,2296.5198032395638,0.009147405624389648,1137,inf,0.15344905853271484,21481
25,873.0210939446396,0.000993490219116211,82,1319.1672986847025,0.007998466491699219,904,1403.2242644952971,0.10248661041259766,14633
26,541.9067982310372,0.0010094642639160156,13,1595.3343763971272,0.008094310760498047,923,541.9067982310372,0.04271745681762695,6003
27,1222.8435469254964,0.0,84,1350.071580191396,0.010081052780151367,1197,inf,0.08925747871398926,12753
28,1013.3185190675669,0.0009999275207519531,87,1096.8648185598565,0.009002208709716797,979,1102.3485309576083,0.11370444297790527,16151
29,354.36795979848364,0.0,22,426.6283778734773,0.006363868713378906,602,462.9420151133997,0.034212350845336914,4949
30,1445.236187021433,0.0009999275207519531,134,inf,0.005007028579711914,437,inf,0.16285371780395508,23278
31,920.8837881040976,0.0009932518005371094,57,988.8451785707201,0.008006095886230469,893,993.8683534395406,0.10042738914489746,14296
32,608.5213975249593,0.001142263412475586,16,713.5989964070501,0.005999326705932617,483,615.4600940270292,0.03143954277038574,4736
33,879.0075707966025,0.0009949207305908203,79,895.6831239055657,0.00913691520690918,984,inf,0.11669158935546875,15977
34,1476.9358149166071,0.0009996891021728516,108,2829.714002970621,0.010169267654418945,1217,inf,0.1391599178314209,19510
35,1489.6243483564363,0.0009999275207519531,134,inf,0.0040056705474853516,316,inf,0.16799712181091309,23566
36,1175.165084889141,0.0009834766387939453,158,1602.3729718762534,0.011153459548950195,1262,inf,0.1691906452178955,23422
37,1588.0584375616404,0.0019996166229248047,244,inf,0.00800013542175293,850,inf,0.1499040126800537,21553
38,2466.4417883950446,0.0019998550415039062,365,inf,0.006056070327758789,686,inf,0.165236234664917,23607
39,464.3151380310204,0.0,15,472.4284419047814,0.006054878234863281,564,509.626707805573,0.05662655830383301,8243
40,838.5519396420627,0.0009999275207519531,62,860.221612512944,0.008055686950683594,921,859.0698741874542,0.08557462692260742,12271
41,788.3798453642794,0.0,55,898.5445376589631,0.008999109268188477,1049,832.8359099111158,0.09425950050354004,13517
42,925.831461427363,0.0010058879852294922,101,1157.3273078775487,0.011245250701904297,1384,inf,0.1407308578491211,20600
43,1090.8545859158367,0.0,86,1153.4146379587744,0.006990909576416016,773,1249.8384109065885,0.07406353950500488,10604
44,1550.4516447661276,0.0010001659393310547,166,1669.2333701764073,0.010105133056640625,1156,1798.8434235278391,0.12443709373474121,17803
45,630.8256090850662,0.0,46,682.2716301054684,0.006028890609741211,563,792.689949915067,0.08073949813842773,11669
46,507.01953072268174,0.0,32,541.2093387003649,0.008007526397705078,822,inf,0.09299325942993164,13569
47,1671.0622310633562,0.0011148452758789062,176,inf,0.007010936737060547,841,inf,0.15114307403564453,21896
48,1161.9957192150937,0.0021185874938964844,56,inf,0.006006717681884766,687,inf,0.14111995697021484,19725
49,448.5508933670389,0.0,8,525.4695079672819,0.005052804946899414,542,454.13199574480365,0.02415633201599121,3432
50,234.96754694174203,0.0,7,234.96754694174203,0.003049612045288086,200,234.96754694174203,0.009020090103149414,1344
51,710.038043284031,0.0,22,970.798612567156,0.011043310165405273,1321,744.5822235435945,0.05899977684020996,8676
52,1402.6767400729589,0.0009999275207519531,166,inf,0.009078741073608398,1017,inf,0.16769886016845703,24161
53,953.6991752832273,0.0009999275207519531,152,1378.212010570742,0.012000560760498047,1392,996.7173777204547,0.10404229164123535,15091
54,1659.1430289361429,0.0019953250885009766,278,inf,0.0050449371337890625,419,inf,0.15168166160583496,21641
55,1172.9375086960088,0.0010001659393310547,168,inf,0.004999637603759766,509,inf,0.14588165283203125,20825
56,594.3555345801059,0.0,20,622.6050323105709,0.007006168365478516,806,594.3555345801059,0.043280839920043945,6419
57,379.07892112199016,0.0,18,470.53839002227073,0.007053375244140625,701,390.7987727154909,0.011102914810180664,1716
58,496.1467080151145,0.0010449886322021484,65,703.141585173308,0.009058713912963867,1105,inf,0.13396239280700684,18481
59,882.5668462303839,0.0,54,1082.5662394316175,0.0072422027587890625,935,960.7650520515997,0.06037592887878418,8784
60,111.58137849312804,0.0,5,111.58137849312804,0.0029997825622558594,216,111.58137849312804,0.0070002079010009766,981
61,1532.6799249443307,0.0009999275207519531,79,inf,0.005000114440917969,582,inf,0.15308761596679688,21674
62,1072.4993739142037,0.0,48,1150.9860316571585,0.00800013542175293,885,1092.4413517206506,0.06299996376037598,9042
63,336.5048288521065,0.0,6,336.5048288521065,0.004001140594482422,229,336.5048288521065,0.018248558044433594,2583
64,1174.6969621756286,0.0,81,1325.0373481830668,0.009998321533203125,1130,inf,0.14931035041809082,21258
65,1790.022526987976,0.0009999275207519531,151,2206.131715995053,0.009030580520629883,1048,inf,0.16979384422302246,24036
66,1021.7326239580399,0.0010008811950683594,90,1116.0972831549734,0.00699925422668457,664,inf,0.1368553638458252,19554
67,1749.8387448963322,0.0009944438934326172,226,2258.3110225771907,0.01011204719543457,1248,inf,0.16646671295166016,24373
68,754.1005253945387,0.0,18,754.1005253945387,0.007071018218994141,663,802.7217163285782,0.06039261817932129,8619
69,1384.6145530802107,0.000997781753540039,76,2108.5981249557203,0.01529550552368164,1839,inf,0.1580955982208252,22890
70,1154.8764148223438,0.0010004043579101562,89,1265.9334562684762,0.009999513626098633,1130,inf,0.14075517654418945,20304
71,966.4977384939347,0.0,92,1085.8818038643212,0.010033369064331055,1224,1045.3597590234228,0.0720062255859375,10732
72,858.4316243501069,0.000993967056274414,57,1200.2468746774875,0.012999296188354492,1451,883.2715686207387,0.06566238403320312,9490
73,877.5170717276085,0.0009987354278564453,64,inf,0.007060527801513672,703,inf,0.16424965858459473,22470
74,571.4041136954966,0.0009908676147460938,19,651.2951542453816,0.006215095520019531,578,660.7491926302637,0.042455434799194336,6067
75,783.0356143962483,0.0010051727294921875,130,inf,0.0041332244873046875,419,inf,0.15401959419250488,21771
76,1389.2418069334149,0.00099945068359375,190,inf,0.010109424591064453,1095,inf,0.1723158359527588,24037
77,992.6160087092733,0.0009996891021728516,74,1791.4326866881052,0.00806117057800293,940,inf,0.1502082347869873,21921
78,1338.776357704401,0.0009996891021728516,69,1827.8356903879458,0.010044097900390625,1160,inf,0.12888336181640625,18794
79,1681.7344497512875,0.0010004043579101562,143,inf,0.0069925785064697266,808,inf,0.1423938274383545,20475
80,1045.7135317166628,0.0009999275207519531,38,1088.9239767255033,0.010328292846679688,1091,inf,0.15164780616760254,20920
81,1075.5185169254432,0.0,117,1983.8907609989265,0.008236408233642578,1011,inf,0.16276168823242188,23427
82,1271.5396365734755,0.0009982585906982422,144,1819.689498444134,0.006186962127685547,737,inf,0.16930055618286133,24069
83,761.6158535741538,0.0,58,inf,0.0029990673065185547,273,inf,0.08496713638305664,12319
84,791.5685806504467,0.0,52,791.5685806504467,0.007982969284057617,980,824.0134120645647,0.048360586166381836,6737
85,843.09013473068,0.0,37,920.6826548533721,0.00800013542175293,749,inf,0.16634583473205566,23900
86,146.03401325613248,0.0,4,146.03401325613248,0.0030069351196289062,209,146.03401325613248,0.016124248504638672,2360
87,1780.6232272949508,0.0019996166229248047,240,2057.6420106596797,0.009108781814575195,941,inf,0.1641371250152588,23560
88,1152.425703023465,0.0010042190551757812,109,1642.7980734708399,0.008921384811401367,970,inf,0.12624883651733398,18438
89,546.0540421686658,0.0,31,546.0540421686658,0.007051706314086914,713,546.0540421686658,0.08570289611816406,12680
90,468.9198030988982,0.0009942054748535156,23,701.7034778925848,0.008104801177978516,894,478.7104848653737,0.06293487548828125,9220
91,806.7435272597704,0.0009992122650146484,49,941.7514848120646,0.00899362564086914,909,inf,0.1442570686340332,20282
92,2115.2457838506034,0.0009937286376953125,227,4022.8087424888013,0.007006406784057617,728,2159.794064729624,0.12625384330749512,18145
93,2073.0408383328227,0.0020036697387695312,258,inf,0.00892329216003418,1078,inf,0.17271184921264648,24685
94,196.94716604089697,0.0,9,196.94716604089697,0.003996372222900391,258,196.94716604089697,0.028003931045532227,4258
95,1702.8914595113379,0.0010001659393310547,125,inf,0.009000301361083984,1090,inf,0.16415810585021973,23155
96,758.9974996733838,0.001008749008178711,89,1244.344683868781,0.01099085807800293,1279,inf,0.1464071273803711,21089
97,663.3786204709108,0.0010004043579101562,76,1380.7737088303443,0.009115219116210938,1023,1222.1688082026383,0.09972357749938965,14208
98,1833.6207949150948,0.0009996891021728516,245,inf,0.005021333694458008,571,inf,0.12160420417785645,17564
99,1946.501990111892,0.002312183380126953,414,inf,0.005990743637084961,635,inf,0.17469096183776855,24973
100,2016.5937248456416,0.0020062923431396484,338,inf,0.0060214996337890625,730,inf,0.1661536693572998,23931
